No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
155,Kimaiyo,David Mwole,28,Elgeyo Marakwet,33,Kenya African National Union,KANU
156,Murkomen,Onesimus Kipchumba,28,Elgeyo Marakwet,27,Jubilee Party,JP
157,Korir,Thomas Kiprono,29,Nandi,67,Maendeleo Chap Chap Party,MCCP
158,Samson,Cherarkey K,29,Nandi,27,Jubilee Party,JP
159,Ayabei,Kennedy Kipchumba,30,Baringo,21,Orange Democratic Movement,ODM
160,Chelugui,Simon Kiprono,30,Baringo,27,Jubilee Party,JP
161,Moi,Gideon Kipsielei Towett,30,Baringo,33,Kenya African National Union,KANU
162,Kamunya,John Maina Njenga,31,Laikipia,33,Kenya African National Union,KANU
163,Nderitu,John Kinyua,31,Laikipia,27,Jubilee Party,JP
164,Kihika,Susan Wakarura,32,Nakuru,27,Jubilee Party,JP
165,Kiiru,Margaret Wanjiku,32,Nakuru,IND,Independent,IND
166,Munyuthe,Willy Mukoma,32,Nakuru,IND,Independent,IND
167,Ogada,Samwel Omondi,32,Nakuru,21,Orange Democratic Movement,ODM
168,Rono,Daniel,32,Nakuru,76,Thirdway Alliance Kenya,TAK
169,Kiplangat,Albert,33,Narok,2,The National Vision Party,NVP
170,Lankas,Nkoidila Ole,33,Narok,27,Jubilee Party,JP
171,Maitai,Thomas,33,Narok,IND,Independent,IND
172,Ole Kina,Ledama,33,Narok,21,Orange Democratic Movement,ODM
173,Mpaayei,Phillip Salau,34,Kajiado,27,Jubilee Party,JP
174,Oleseki,Oliver Lemachon,34,Kajiado,3,The Labour Party of Kenya,LPK
175,Paitah,Paul Sainepo,34,Kajiado,14,Party of National Unity,PNU
176,Parantai,Jason Kareisi,34,Kajiado,12,Wiper Democratic Movement - Kenya,WDM-K
177,Tinaayai,Daniel Koilel Ole,34,Kajiado,21,Orange Democratic Movement,ODM
178,Biegon,Isaac Kipkurui,35,Kericho,21,Orange Democratic Movement,ODM
179,Cheruiyot,Aaron Kipkirui,35,Kericho,27,Jubilee Party,JP
180,Koech,Tony Kipkorir,35,Kericho,67,Maendeleo Chap Chap Party,MCCP
181,Mutai,David Kipkoech A,35,Kericho,33,Kenya African National Union,KANU
182,Toweet,Andrew Kibet,36,Bomet,IND,Independent,IND
183,Kirui,Samuel Kipkemoi,36,Bomet,2,The National Vision Party,NVP
184,Koskey,Stephen Kiplangat,36,Bomet,54,Chama Cha Mashinani,CCM
185,Langat,Andrew Kimutai,36,Bomet,21,Orange Democratic Movement,ODM
186,Langat,Christopher Andrew,36,Bomet,27,Jubilee Party,JP
187,Salat,Nicholas Kiptoo Arap Korir,36,Bomet,33,Kenya African National Union,KANU
188,Andati,Martin Luther Kings A,37,Kakamega,28,Maendeleo Democratic Party,MDP
189,Livondo,Stanley,37,Kakamega,27,Jubilee Party,JP
190,Malalah,Cleophas Wakhungu,37,Kakamega,62,Amani National Congress,ANC
191,Mwonyonyo,Carolyne Indasi,37,Kakamega,71,National Liberal Party,NLP
192,Panyako,Seth Ambusini,37,Kakamega,21,Orange Democratic Movement,ODM
193,Washiko,Sammy Oliver Aina,37,Kakamega,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
194,Amayi,Jairus Boston,38,Vihiga,49,Federal Party of Kenya,FPK
195,Etende,Henry Embeywa,38,Vihiga,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
196,George,Khaniri,38,Vihiga,62,Amani National Congress,ANC
197,Imbwaga,Humphrey Lihanda,38,Vihiga,21,Orange Democratic Movement,ODM
198,Kenya,Patrick Ralph,38,Vihiga,27,Jubilee Party,JP
199,Makomere,Maurice Kangaya,38,Vihiga,25,Progressive Party of Kenya,PPOK
200,Saisi,Julius Amira,38,Vihiga,64,United Democratic Party,UDP
201,Makali,David Barasa,39,Bungoma,62,Amani National Congress,ANC
202,Mukhwana,Eusebius Juma,39,Bungoma,27,Jubilee Party,JP
203,Nyongesa,Bonface Wayne,39,Bungoma,21,Orange Democratic Movement,ODM
204,Wamukota,Chrispus Wamoyo,39,Bungoma,IND,Independent,IND
205,Wetangula,Moses Masika,39,Bungoma,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
206,Abdi,Ali Noor,40,Busia,27,Jubilee Party,JP
207,Egessa,Felix Reuben,40,Busia,IND,Independent,IND
208,Felix,Lone Okumu,40,Busia,IND,Independent,IND
209,Kassam,Karen Aduol,40,Busia,3,The Labour Party of Kenya,LPK
210,Mainga,Peter Hillary,40,Busia,72,Movement for Democracy and Growth,MDG
211,Okoiti   Okiya,Andrew Omtatah,40,Busia,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
212,Omala,Francis Mugeni,40,Busia,8,Restore and Build Kenya,RBK
213,Omulepu,Joel,40,Busia,41,United Democratic Movement,UDM
214,Wako,Sitswila Amos,40,Busia,21,Orange Democratic Movement,ODM
215,Oluoch,Jacob Ochieng,41,Siaya,27,Jubilee Party,JP
216,Orengo,James Aggrey Bob,41,Siaya,21,Orange Democratic Movement,ODM
217,Abudho,Millicent Anyango,42,Kisumu,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
218,Ayoki,Winston Ochoro,42,Kisumu,27,Jubilee Party,JP
219,Muga,James Ogoda,42,Kisumu,IND,Independent,IND
220,Outa,Fredrick Otieno,42,Kisumu,21,Orange Democratic Movement,ODM
221,Kajwang,Moses Otieno,43,Homa Bay,21,Orange Democratic Movement,ODM
222,Ogolla,John Owuor,43,Homa Bay,27,Jubilee Party,JP
223,Rabongo,Fred,43,Homa Bay,IND,Independent,IND
224,Asiago,Timothy Ghorobah,44,Migori,IND,Independent,IND
225,Kawa,Francis Dawo,44,Migori,IND,Independent,IND
226,Mijungu,Billy Graham Okumu,44,Migori,IND,Independent,IND
227,Ogola,Dickson Ogola,44,Migori,IND,Independent,IND
228,Okello,Ben Oluoch,44,Migori,21,Orange Democratic Movement,ODM
229,Oketch,Eddy Gicheru,44,Migori,IND,Independent,IND
230,Owino,Charles Oyugi,44,Migori,62,Amani National Congress,ANC
231,Rugaria,Solomon Hodo,44,Migori,IND,Independent,IND
232,Atemba,Richard Minyega,45,Kisii,9,Kenya National Congress,KNC
233,Gekone,Vincent Mose,45,Kisii,38,Peoples Empowerment Party,PEP
234,Magara,James Omingo,45,Kisii,39,Peoples Democratic Party,PDP
235,Mishael,Samwel Okemwa,45,Kisii,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
236,Mokua,Richard Laurel,45,Kisii,19,Kenya Social Congress,KSC
237,Nyachae,Charles Ayako,45,Kisii,27,Jubilee Party,JP
238,Nyamwega,Benayo M Ihaji,45,Kisii,75,Empowerment and Liberation Party,ELP
239,Ombati,Kennedy Momanyi,45,Kisii,3,The Labour Party of Kenya,LPK
240,Onchagwa,Isaac Mokua,45,Kisii,IND,Independent,IND
241,Ongeri,Samson Kegengo,45,Kisii,21,Orange Democratic Movement,ODM
242,Rasugu,Ooga Justus,45,Kisii,71,National Liberal Party,NLP
243,Abuya,Abuya,46,Nyamira,19,Kenya Social Congress,KSC
244,Mogaka,Tom Nyayiemi,46,Nyamira,8,Restore and Build Kenya,RBK
245,Mogeni,Erick Okongo,46,Nyamira,21,Orange Democratic Movement,ODM
246,Mose,Nyambega,46,Nyamira,12,Wiper Democratic Movement - Kenya,WDM-K
247,Ombasa,Joseph Kiangoi,46,Nyamira,27,Jubilee Party,JP
248,Rioba,Timothy Obare,46,Nyamira,IND,Independent,IND
249,Samuel,Mounde Walter,46,Nyamira,62,Amani National Congress,ANC
250,Gorasia,Rameshchandra  Govind,47,Nairobi,12,Wiper Democratic Movement - Kenya,WDM-K
251,Lengewa,Suzanne Silantoi,47,Nairobi,IND,Independent,IND
252,Matayo,Zachariah Momanyi,47,Nairobi,58,Republican Liberty Party,RLP
253,Nthumbi,Dennis Ndwiga,47,Nairobi,17,Agano Party,AGANO
254,Sakaja,Johnson Arthur,47,Nairobi,27,Jubilee Party,JP
255,Sifuna,Edwine Watenya,47,Nairobi,21,Orange Democratic Movement,ODM
256,Wamagata,John,47,Nairobi,34,Safina,SAFINA
