No,Surname,Other Names,Running Mate Surname,Running Mate Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
21,Abdalla,Abdalla Mohamed,Mohamed,Mwenyealy Mwenye,5,Lamu,21,Orange Democratic Movement,ODM
22,Kinuthia,Eliud Ndungu,Mwangi,James Kibe,5,Lamu,14,Party of National Unity,PNU
23,Swaleh,Swaleh Salim,Jeneby,Maryam Muhammed,5,Lamu,12,Wiper Democratic Movement - Kenya,WDM-K
24,Timamy,Issa Abdalla,Mugo,Eric Kinyua,5,Lamu,62,Amani National Congress,ANC
25,Twaha,Fahim Yasin,Abdulhakim,Aboud Bwana,5,Lamu,27,Jubilee Party,JP
26,Katani,Erastus Mwanjama,Nzioka,Benedict Mutua,6,Taita Taveta,IND,Independent,IND
27,Kisombe,Emmanuel Mwatibo,Shinga,Richard Mwangeka,6,Taita Taveta,IND,Independent,IND
28,Mruttu,John Mtuta,Kibuka,Mary Ndiga,6,Taita Taveta,IND,Independent,IND
29,Mwadegh U,Thomas Ludindi,Loliang'a,Tairo,6,Taita Taveta,21,Orange Democratic Movement,ODM
30,Mwadime,Constantine Maghanga,Msawughi,Dalmas Simba,6,Taita Taveta,67,Maendeleo Chap Chap Party,MCCP
31,Mwakuleg Wa,Danson Mwazo,Mrutu,Stanley Masamo,6,Taita Taveta,27,Jubilee Party,JP
32,Mwatela,Jacinta Wanjala,Mwangoma,Alfred,6,Taita Taveta,62,Amani National Congress,ANC
33,Samboja,Granton Graham,Mlagui,Majala Delina,6,Taita Taveta,12,Wiper Democratic Movement - Kenya,WDM-K
34,Adan,Nathif Jama,Ali,Abdullahi Hussein,7,Garissa,12,Wiper Democratic Movement - Kenya,WDM-K
35,Haji,Bashir Yussuf,Ahmed,Hassan Maalim Abdulahi,7,Garissa,62,Amani National Congress,ANC
36,Hire,Ahmed Aden,Abdi,Abdinasir Mohamed,7,Garissa,67,Maendeleo Chap Chap Party,MCCP
37,Korane,Ali Bunow,Muhumed,Abdi Dagane,7,Garissa,27,Jubilee Party,JP
38,Abdi,Ahmed Muhumed,Yarow,Abdihafid Abdullahi,8,Wajir,15,Party for Development and Reform,PDR
39,Warfa,Sirat Osman,Jimale,Saleh Said,8,Wajir,55,Alliance for Real Change,ARK
40,Khalif,Hashim Abdisirad,Maalim,Ibrahim Abdullahi,8,Wajir,13,Democratic Party of Kenya,DP
41,Mahamud,Mohamed Abdi,Muktar,Ahmed Ali,8,Wajir,27,Jubilee Party,JP
42,Mohamad,Ahmed Abdullahi,Nunow,Ahmed Abdikadir,8,Wajir,21,Orange Democratic Movement,ODM
43,Sheikh,Salah Abdi,Abdi,Siyad Ore,8,Wajir,76,Thirdway Alliance Kenya,TAK
44,Noor,Hassan Hassan,Abass,Maalim Hajir,9,Mandera,48,Economic Freedom Party,EFP
45,Roba,Ali Ibrahim,Arai,Mohamed Ahmed,9,Mandera,27,Jubilee Party,JP
46,Adano,Umuro Sora,Ali,Abdub Guyo,10,Marsabit,33,Kenya African National Union,KANU
47,Ali,Mohamud Mohamed,Riwe,Solomon Gubo,10,Marsabit,27,Jubilee Party,JP
48,Kanacho,Ukur Yatani,Sarbo,Hassan Marsa,10,Marsabit,46,Frontier Alliance Party,FAP
49,Wario,Ibrahim Dambi,Philip,Joseph Diba,10,Marsabit,21,Orange Democratic Movement,ODM
50,Abdille,Mohamed Gulleid,Lesengei,Patrick Karume,11,Isiolo,54,Chama Cha Mashinani,CCM
51,Adhi,Godana Doyo,Punuka,Barnabas Esunyen,11,Isiolo,15,Party for Development and Reform,PDR
52,Ahmed,Anwar,M'tongondu,Nicholas Mugambi,11,Isiolo,67,Maendeleo Chap Chap Party,MCCP
53,Ali,Abdul Bahari,Bomiziano,Laikuru Maingi,11,Isiolo,27,Jubilee Party,JP
54,Kabelo,Adan Wario,Ekwam,Paul Edonga,11,Isiolo,21,Orange Democratic Movement,ODM
55,Kuti,Mohamed Abdi,Issa,Abdi Ibrahim,11,Isiolo,IND,Independent,IND
56,Machugu Ma,Kimaita John,Abdullahi,Abdi Osman,11,Isiolo,13,Democratic Party of Kenya,DP
57,Atheru,Kiambi James Thambura,Kunyanga,Irene Kathure,12,Meru,IND,Independent,IND
58,Gatobu,Bonface Kinoti,Naftaly,Kathurima,12,Meru,IND,Independent,IND
59,Kaburu,Winfred,Mungania,Laibon Isaiah,12,Meru,12,Wiper Democratic Movement - Kenya,WDM-K
60,Munya,Peter Gatirau,Nkubitu,Peter Kaberia,12,Meru,14,Party of National Unity,PNU
61,Murungi,Kiraitu,Ntuchiu,Titus Mutea,12,Meru,27,Jubilee Party,JP
62,Mwiria,Kilemi,Mwithali,Shadrack,12,Meru,67,Maendeleo Chap Chap Party,MCCP
63,Kathee,Kathee-gwa,Njagi,Joachim,13,Tharaka Nithi,21,Orange Democratic Movement,ODM
64,M'nkiria,Petkay Shen Miriti,Ichenga,Gerald Mugao,13,Tharaka Nithi,IND,Independent,IND
65,Mbaka,Crispus Mwenda,Njagi,Arnold Micheni,13,Tharaka Nithi,IND,Independent,IND
66,Njuki,Onesmus Muthomi,Kagwima,Francis Nyamu,13,Tharaka Nithi,27,Jubilee Party,JP
67,Ragwa,Samwel Mbae,Mate,Eliud Murithi,13,Tharaka Nithi,1,National Rainbow Coalition - Kenya,NARC-KENYA
68,Kithinji,Kiragu,Kathiga,Elias Njeru,14,Embu,14,Party of National Unity,PNU
69,Kivuti,Lenny Maxwell,Kathuri,Emilio Mureithi,14,Embu,67,Maendeleo Chap Chap Party,MCCP
70,Njeru,Leonard Muriuki,Karucu,Sylvester Gakumu,14,Embu,1,National Rainbow Coalition - Kenya,NARC-KENYA
71,Njiru,Cyrus,Njeru,Edith Roseline,14,Embu,IND,Independent,IND
72,Njuki,Peter Njagi,Ireri,Joseph Muriithi,14,Embu,13,Democratic Party of Kenya,DP
73,Wambora,Martin Nyaga,Njeru,David Kariuki,14,Embu,27,Jubilee Party,JP
74,Malombe,Dr Julius Makau,Musee,Agnes Kambua John,15,Kitui,12,Wiper Democratic Movement - Kenya,WDM-K
75,Musila,David,Malonza,Peninah,15,Kitui,IND,Independent,IND
76,Ngilu,Charity Kaluki,Nzau,Dr Gideon Wathe,15,Kitui,29,National Rainbow Coalition,NARC
77,Kiala,Bernard Muia Tom,Mutula,Evelyn Mwende,16,Machakos,IND,Independent,IND
78,Lemi,Muia Jeremiah,Karanja,John Ngigi,16,Machakos,27,Jubilee Party,JP
79,Mutua,Alfred Nganga,Maliti,Francis Wambua,16,Machakos,67,Maendeleo Chap Chap Party,MCCP
80,Ndeti,Wavinya,Mathuki,Peter Mutuku,16,Machakos,12,Wiper Democratic Movement - Kenya,WDM-K
