No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv,Notes
248,Ali,Khalif Abdi,8,Wajir,38,Wajir South,15,Party for Development and Reform,PDR,
249,Mohammed,Mohamud Sheikh,8,Wajir,38,Wajir South,27,Jubilee Party,JP,
250,Muhumed,Hussein Hassan,8,Wajir,38,Wajir South,21,Orange Democratic Movement,ODM,
251,Ogle,Mohamed Abdullahi,8,Wajir,38,Wajir South,62,Amani National Congress,ANC,
252,Sirat,Mahamud Muhumed,8,Wajir,38,Wajir South,IND,Independent,IND,
253,Edin,Mohamed Maalim,9,Mandera,39,Mandera West,33,Kenya African National Union,KANU,
254,Haji,Ahmed Ibrahim,9,Mandera,39,Mandera West,27,Jubilee Party,JP,
255,Yussuf,Adan Haji,9,Mandera,39,Mandera West,48,Economic Freedom Party,EFP,
256,Hassan,Kulow Maalim,9,Mandera,40,Banissa,48,Economic Freedom Party,EFP,
257,Mohamed,Mohamed  Abdi Haji,9,Mandera,40,Banissa,27,Jubilee Party,JP,
258,Abdi,Mohammed Ibrahim,9,Mandera,41,Mandera North,48,Economic Freedom Party,EFP,
259,Abdullah,Bashir Sheikh,9,Mandera,41,Mandera North,27,Jubilee Party,JP,
260,Ahmed,Abdullahi Mohamed,9,Mandera,41,Mandera North,76,Thirdway Alliance Kenya,TAK,
261,Herin,Hussein Abshiro,9,Mandera,41,Mandera North,14,Party of National Unity,PNU,
262,Mohamed,Abdi Ali,9,Mandera,41,Mandera North,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
263,Ali,Adan Haji,9,Mandera,42,Mandera South,27,Jubilee Party,JP,
264,Hassan,Mohamed Issack,9,Mandera,42,Mandera South,48,Economic Freedom Party,EFP,
265,Hassan,Omar Mohamed  Maalim,9,Mandera,43,Mandera East,48,Economic Freedom Party,EFP,
266,Abdirahman,Husseinweytan  Mohamed,9,Mandera,43,Mandera East,27,Jubilee Party,JP,
267,Ahmed,Jimaldin Adan,9,Mandera,43,Mandera East,55,Alliance for Real Change,ARK,
268,Haji,Ali     Hassan,9,Mandera,43,Mandera East,49,Federal Party of Kenya,FPK,
269,Hassan,Abdikadir Sheikh,9,Mandera,43,Mandera East,15,Party for Development and Reform,PDR,
270,Hassan,Ali Salat,9,Mandera,43,Mandera East,59,Roots Party of Kenya,RPK,
271,Sheikh,Mohamed Abdinoor,9,Mandera,43,Mandera East,17,Agano Party,AGANO,
272,Ibrahim,Abdi Mude,9,Mandera,44,Lafey,48,Economic Freedom Party,EFP,
